Jahr;Haushalt-Größe-5;Wohnfläche pro Person
1993;1-Pers-Haush.;45,9
1993;2-Pers-Haush.;31,8
1993;3-Pers-Haush.;24,2
1993;4-Pers-Haush.;20
1993;5-u.m.-Pers-Hh.;18,5
1993;gewichtetes Mittel;27,8
1995;1-Pers-Haush.;50
1995;2-Pers-Haush.;31,6
1995;3-Pers-Haush.;23,8
1995;4-Pers-Haush.;20,1
1995;5-u.m.-Pers-Hh.;19,3
1995;gewichtetes Mittel;29,9
1996;1-Pers-Haush.;48,4
1996;2-Pers-Haush.;32,3
1996;3-Pers-Haush.;24,9
1996;4-Pers-Haush.;20,5
1996;5-u.m.-Pers-Hh.;18,9
1996;gewichtetes Mittel;29,8
1998;1-Pers-Haush.;50,3
1998;2-Pers-Haush.;33,1
1998;3-Pers-Haush.;26
1998;4-Pers-Haush.;22,4
1998;5-u.m.-Pers-Hh.;19,8
1998;gewichtetes Mittel;32,6
2002;1-Pers-Haush.;53,1
2002;2-Pers-Haush.;36
2002;3-Pers-Haush.;28,9
2002;4-Pers-Haush.;24,5
2002;5-u.m.-Pers-Hh.;23,3
2002;gewichtetes Mittel;36
2005;1-Pers-Haush.;54
2005;2-Pers-Haush.;36,1
2005;3-Pers-Haush.;28,5
2005;4-Pers-Haush.;25,4
2005;5-u.m.-Pers-Hh.;23,8
2005;gewichtetes Mittel;36,3
2007;1-Pers-Haush.;54,8
2007;2-Pers-Haush.;37,2
2007;3-Pers-Haush.;29,6
2007;4-Pers-Haush.;26,4
2007;5-u.m.-Pers-Hh.;23,2
2007;gewichtetes Mittel;38,1
2010;1-Pers-Haush.;55,1
2010;2-Pers-Haush.;37,7
2010;3-Pers-Haush.;30,3
2010;4-Pers-Haush.;25
2010;5-u.m.-Pers-Hh.;21,7
2010;gewichtetes Mittel;37,9
2012;1-Pers-Haush.;55,8
2012;2-Pers-Haush.;38,2
2012;3-Pers-Haush.;29,4
2012;4-Pers-Haush.;25,8
2012;5-u.m.-Pers-Hh.;24,1
2012;gewichtetes Mittel;39,2
2014;1-Pers-Haush.;59,3
2014;2-Pers-Haush.;38,5
2014;3-Pers-Haush.;29,6
2014;4-Pers-Haush.;27
2014;5-u.m.-Pers-Hh.;22,8
2014;gewichtetes Mittel;39,4
2016;1-Pers-Haush.;55,8
2016;2-Pers-Haush.;39,2
2016;3-Pers-Haush.;29,1
2016;4-Pers-Haush.;25,8
2016;5-u.m.-Pers-Hh.;23,8
2016;gewichtetes Mittel;44,1
2018;1-Pers-Haush.;55,7
2018;2-Pers-Haush.;40
2018;3-Pers-Haush.;30,3
2018;4-Pers-Haush.;26,1
2018;5-u.m.-Pers-Hh.;24
2018;gewichtetes Mittel;38,7
2020;1-Pers-Haush.;56
2020;2-Pers-Haush.;39,9
2020;3-Pers-Haush.;30,4
2020;4-Pers-Haush.;26,9
2020;5-u.m.-Pers-Hh.;24,8
2020;gewichtetes Mittel;38,9
2022;1-Pers-Haush.;58,3
2022;2-Pers-Haush.;40,7
2022;3-Pers-Haush.;31,1
2022;4-Pers-Haush.;26,4
2022;5-u.m.-Pers-Hh.;23,4
2022;gewichtetes Mittel;39,8
2024;1-Pers-Haush.;57,7
2024;2-Pers-Haush.;40,4
2024;3-Pers-Haush.;30,7
2024;4-Pers-Haush.;26,6
2024;5-u.m.-Pers-Hh.;23,6
2024;gewichtetes Mittel;39,8
